資訊清單建立者	17807
日期	06-Jul-2026 22:46:30
目前工作零件	D:\OH-WorkSpace\GGV_LTS_SensitivityAnsysis_V4.0\chengdu endurance track4.0_dwg.prt
節點名	queenzzzworkbook


曲線的曲率分析
------------------------------------------------------------
分析曲線 #               1
檢查點的個數 =             6250
投影平面 = 無
  參數      XC          YC          ZC      曲率      力矩
  0.024644  -321.618165  -361.351566    0.000000  2.126830e-02  0.000000e+00
  0.024804  -321.593939  -361.491610    0.000000  1.964941e-02  0.000000e+00
  0.024964  -321.569301  -361.631696    0.000000  1.801093e-02  0.000000e+00
  0.025124  -321.544286  -361.771825    0.000000  1.635487e-02  0.000000e+00
  0.025284  -321.518925  -361.912002    0.000000  1.468313e-02  0.000000e+00
  0.025444  -321.493252  -362.052230    0.000000  1.299757e-02  0.000000e+00
  0.025604  -321.467301  -362.192511    0.000000  1.129996e-02  0.000000e+00
  0.025764  -321.441104  -362.332850    0.000000  9.591972e-03  0.000000e+00
  0.025924  -321.414698  -362.473248    0.000000  7.875249e-03  0.000000e+00
  0.026084  -321.388116  -362.613709    0.000000  6.151348e-03  0.000000e+00
  0.026244  -321.361394  -362.754235    0.000000  4.421770e-03  0.000000e+00
  0.026404  -321.334566  -362.894830    0.000000  2.687963e-03  0.000000e+00
  0.026564  -321.307669  -363.035495    0.000000  9.513237e-04  0.000000e+00
  0.026724  -321.280738  -363.176233    0.000000  7.867936e-04  0.000000e+00
  0.026884  -321.253809  -363.317046    0.000000  2.525073e-03  0.000000e+00
  0.027044  -321.226918  -363.457938    0.000000  4.262231e-03  0.000000e+00
  0.027204  -321.200101  -363.598908    0.000000  5.997010e-03  0.000000e+00
  0.027364  -321.173395  -363.739960    0.000000  7.728173e-03  0.000000e+00
  0.027524  -321.146835  -363.881095    0.000000  9.454498e-03  0.000000e+00
  0.027684  -321.120458  -364.022314    0.000000  1.117477e-02  0.000000e+00
  0.027844  -321.094299  -364.163620    0.000000  1.288778e-02  0.000000e+00
  0.028004  -321.068395  -364.305012    0.000000  1.459232e-02  0.000000e+00
  0.028165  -321.042782  -364.446492    0.000000  1.628717e-02  0.000000e+00
  0.028325  -321.017494  -364.588061    0.000000  1.797108e-02  0.000000e+00
  0.028485  -320.992569  -364.729719    0.000000  1.964282e-02  0.000000e+00
  0.028645  -320.968040  -364.871466    0.000000  2.130112e-02  0.000000e+00
  0.028805  -320.943944  -365.013303    0.000000  2.294468e-02  0.000000e+00
  0.028965  -320.920313  -365.155230    0.000000  2.457217e-02  0.000000e+00
  0.029125  -320.897184  -365.297245    0.000000  2.618224e-02  0.000000e+00
  0.029285  -320.874590  -365.439349    0.000000  2.777351e-02  0.000000e+00
  0.029445  -320.852563  -365.581540    0.000000  2.934455e-02  0.000000e+00
  0.029605  -320.831139  -365.723818    0.000000  3.089390e-02  0.000000e+00
  0.029765  -320.810348  -365.866180    0.000000  3.242006e-02  0.000000e+00
  0.029925  -320.790223  -366.008626    0.000000  3.392149e-02  0.000000e+00
  0.030085  -320.770795  -366.151153    0.000000  3.539664e-02  0.000000e+00
  0.030245  -320.752096  -366.293758    0.000000  3.684388e-02  0.000000e+00
  0.030405  -320.734155  -366.436440    0.000000  3.826158e-02  0.000000e+00
  0.030565  -320.717002  -366.579195    0.000000  3.964807e-02  0.000000e+00
  0.030725  -320.700665  -366.722020    0.000000  4.100164e-02  0.000000e+00
  0.030885  -320.685174  -366.864912    0.000000  4.232057e-02  0.000000e+00
  0.031045  -320.670555  -367.007866    0.000000  4.360311e-02  0.000000e+00
  0.031205  -320.656835  -367.150878    0.000000  4.484751e-02  0.000000e+00
  0.031365  -320.644040  -367.293944    0.000000  4.605199e-02  0.000000e+00
  0.031525  -320.632193  -367.437058    0.000000  4.721507e-02  0.000000e+00
  0.031685  -320.621319  -367.580216    0.000000  4.833687e-02  0.000000e+00
  0.031845  -320.611442  -367.723412    0.000000  4.941810e-02  0.000000e+00
  0.032005  -320.602582  -367.866639    0.000000  5.045942e-02  0.000000e+00
  0.032165  -320.594761  -368.009892    0.000000  5.146151e-02  0.000000e+00
  0.032325  -320.588000  -368.153163    0.000000  5.242502e-02  0.000000e+00
  0.032485  -320.582317  -368.296446    0.000000  5.335060e-02  0.000000e+00
  0.032645  -320.577732  -368.439733    0.000000  5.423888e-02  0.000000e+00
  0.032805  -320.574261  -368.583017    0.000000  5.509049e-02  0.000000e+00
  0.032965  -320.571923  -368.726289    0.000000  5.590606e-02  0.000000e+00
  0.033125  -320.570732  -368.869542    0.000000  5.668621e-02  0.000000e+00
  0.033285  -320.570704  -369.012768    0.000000  5.743156e-02  0.000000e+00
  0.033445  -320.571854  -369.155957    0.000000  5.814273e-02  0.000000e+00
  0.033605  -320.574195  -369.299100    0.000000  5.882033e-02  0.000000e+00
  0.033765  -320.577741  -369.442190    0.000000  5.946500e-02  0.000000e+00
  0.033925  -320.582504  -369.585216    0.000000  6.007734e-02  0.000000e+00
